date,company_name,issue_type,severity,description
2025-09-09,전북은행,PF 점검 사전경보,Low,일부 PF 사업장의 만기 분산도가 낮아 차환 일정 사전 점검이 필요합니다.
2025-09-17,광주은행,우량 차주 편중 점검,Low,우량 중견기업 중심 포트폴리오 확대에 따라 업종 편중 여부를 정기 점검했습니다.
2025-09-23,JB우리캐피탈,ABL 회전율 모니터링,Low,매출채권 유동화 한도대출의 회전율이 개선되고 있어 정상화 속도를 추적합니다.
2025-10-06,전북은행,SME 업황 모니터링,Medium,제조업 차주군 일부에서 주문 회복 속도가 더뎌 단기 상환여력 모니터링이 필요합니다.
2025-10-14,광주은행,상업용부동산 점검,Low,임대료 회수 흐름이 둔화된 일부 자산군을 중심으로 현장 점검을 진행했습니다.
2025-10-28,JB캄보디아은행,현지 금리 변동 경보,Low,현지 기준금리 변동성 확대에 따라 무역금융 차주의 운전자금 수요 변화를 추적합니다.
2025-11-04,JB우리캐피탈,건설업 차주 점검,Medium,건설협력업체 운전자금 차주군 일부에서 매출 둔화와 자금 경색 징후가 관찰되었습니다.
2025-11-12,전북은행,민원 추세 점검,Low,비대면 대출 프로세스 관련 민원 건수가 전월 대비 증가해 원인 분류를 시작했습니다.
2025-11-19,광주은행,매출채권 회수 추적,Low,매출채권 담보대출 회수 주기 단축 효과가 유지되는지 추적하고 있습니다.
2025-11-27,JB캄보디아은행,리스케줄링 성과 점검,Low,현지 SME 담보대출 리스케줄링 대상 차주의 재연체 여부를 점검했습니다.
2025-12-03,JB우리캐피탈,PF 브릿지론 차환 경고,Medium,브릿지론 일부 사업장에서 차환 조건 재협의가 시작되어 일정 재점검이 필요합니다.
2025-12-10,전북은행,PF 공정률 모니터링,Medium,일부 본PF 사업장의 공정률 회복이 지연되어 회수 계획을 보수적으로 재검토했습니다.
2025-12-18,광주은행,서비스업 차주군 점검,Low,서비스업 운전자금 차주군 일부에서 계절적 매출 둔화가 관찰되었습니다.
2025-12-29,JB캄보디아은행,무역금융 거래처 점검,Low,주요 수출입 거래처의 회수 안정성은 양호하나 환율 민감도 점검이 필요합니다.
2026-01-07,JB우리캐피탈,담보 재평가 사전 점검,Medium,설비금융 담보군 일부에서 회수 예상가치 보수화가 필요하다는 내부 검토 의견이 있었습니다.
2026-01-15,전북은행,차주군 업황 둔화 점검,Medium,중소기업 운전자금 차주군 중 제조업 일부에서 매출 회전 둔화가 확인되었습니다.
2026-01-21,광주은행,우량 차주 유지 점검,Low,우량 중견기업 담보대출은 안정적이나 신규 취급 업종 편중을 점검 중입니다.
2026-01-30,JB캄보디아은행,시장환경 점검,Low,현지 시장금리와 부동산 가격 변동성에 대응한 포트폴리오 모니터링을 강화했습니다.
2026-02-05,JB우리캐피탈,회수 프로세스 지연 경보,Medium,연체 초기 차주에 대한 회수 단계 전환이 늦어지고 있어 현장 대응이 필요합니다.
2026-02-11,전북은행,민원 집중 경보,Medium,비대면 심사 관련 동일 유형 민원이 단기간에 늘어 프로세스 재점검을 시작했습니다.
2026-02-19,광주은행,SME 포트폴리오 점검,Low,중소기업 차주군 일부에서 업종 편중 신호가 관찰되어 선제 모니터링을 실시했습니다.
2026-02-26,JB캄보디아은행,현지 담보대출 점검,Low,현지 SME 담보대출군의 담보 여력은 양호하나 일부 차주 리스케줄링 이력이 확인되었습니다.
2026-03-06,JB우리캐피탈,PF 차환 일정 점검,Medium,부동산PF 브릿지론 차환 일정이 일부 구간에 집중되어 본PF 전환 일정 관리가 필요합니다.
2026-03-14,전북은행,부동산 익스포저 점검,Low,부동산 개발 익스포저 비중이 확대되어 취약 사업장 재분류를 진행했습니다.
2026-03-20,광주은행,상업용부동산 회수 지연,Medium,상업용부동산 담보대출 일부에서 임대수익 저하 신호가 나타나 회수 계획을 재점검했습니다.
2026-03-28,JB캄보디아은행,프로젝트금융 모니터링,Low,프로젝트 파이낸싱 초기 집행 확대에 따라 자금 집행 후 관리 체계를 점검했습니다.
2026-04-04,JB우리캐피탈,건설협력업체 차주 경보,High,건설협력업체 운전자금 차주군에서 고위험 차주 비중이 확대되며 정상화 속도가 둔화되었습니다.
2026-04-10,전북은행,PF 브릿지론 점검,Medium,브릿지론 만기 구간 집중으로 차환 수요가 확대되어 선제 차주 면담이 진행되었습니다.
2026-04-18,광주은행,회수효율 개선 점검,Low,매출채권 담보대출 회수주기 개선 효과가 유지되고 있어 베스트 프랙티스를 정리했습니다.
2026-04-25,JB캄보디아은행,현지 금리 민감도 점검,Low,현지 기준금리 상승 시 무역금융 운전자금 차주의 이자부담 영향을 재평가했습니다.
2026-05-07,JB우리캐피탈,담보가치 재평가 경보,High,설비금융 담보군 일부에서 중고설비 회수 예상가치가 하향 조정될 가능성이 커졌습니다.
2026-05-13,전북은행,제조업 차주군 둔화,Medium,중소기업 운전자금 차주군 일부에서 매출 감소가 확인되어 업종별 모니터링을 강화했습니다.
2026-05-20,광주은행,서비스업 취약업종 점검,Medium,일반 기업운전자금 차주군 중 서비스업 편중 구간의 상환여력 저하가 감지되었습니다.
2026-05-28,JB캄보디아은행,리스케줄링 후속 점검,Low,선제 리스케줄링 차주의 재연체 여부를 점검한 결과 전반적으로 안정적 흐름을 보였습니다.
2026-06-03,JB우리캐피탈,회수 단계 지연 경보,High,연체 초기 차주에 대한 회수 단계 전환이 늦어져 회수정책 우선순위 조정이 필요합니다.
2026-06-05,JB우리캐피탈,PF 만기집중 경보,High,PF 브릿지론 일부 사업장에서 본PF 전환 지연과 차환 조건 재협의가 동시에 발생했습니다.
2026-06-07,전북은행,민원 집중 경보,Medium,비대면 대출 프로세스와 관련한 동일 유형 민원이 단기간에 집중되었습니다.
2026-06-09,광주은행,SME 포트폴리오 점검,Medium,중소기업 차주군 일부에서 상환 여력 저하 및 업종 편중 신호가 관찰되었습니다.
2026-06-11,JB캄보디아은행,시장환경 점검,Low,현지 금리 변동성 확대에 따라 일부 포트폴리오 모니터링 강화가 필요합니다.
